pre_16_r,pre_16_tot,rrc_16_r,rrc_16_tot,SD,HD
988,1553,1012,1466,12.0,63.0
2013,2995,2083,2877,12.0,63.0
1408,2034,1484,1963,12.0,63.0
1396,1927,1532,1908,12.0,65.0
1193,1871,1215,1816,12.0,63.0
1596,3027,1648,2942,30.0,57.0
1538,1829,1479,1740,12.0,64.0
967,1634,931,1543,30.0,57.0
940,1789,932,1667,30.0,64.0
1712,2850,1764,2756,30.0,64.0
1006,1605,1008,1559,12.0,63.0
1883,2634,1945,2593,12.0,63.0
2859,3921,2979,3783,12.0,63.0
2055,2706,2112,2599,12.0,63.0
236,919,240,832,30.0,64.0
2014,2780,2077,2683,30.0,57.0
1283,1883,1290,1825,30.0,57.0
739,1218,747,1172,30.0,106.0
1388,2164,1449,2090,30.0,106.0
1052,1784,1076,1665,30.0,64.0
1189,1880,1190,1749,30.0,57.0
527,1063,532,1006,30.0,64.0
1285,2492,1373,2402,12.0,65.0
1396,2252,1465,2204,12.0,65.0
733,846,664,793,18.0,30.0
281,782,231,654,21.0,80.0
252,298,234,283,28.0,88.0
167,195,146,175,28.0,88.0
70,308,37,266,21.0,31.0
46,129,36,109,21.0,31.0
136,241,101,167,19.0,53.0
99,182,78,128,19.0,53.0
229,299,196,246,19.0,53.0
282,327,242,289,19.0,53.0
1025,1878,1001,1780,22.0,10.0
517,762,482,701,2.0,10.0
648,789,618,753,2.0,10.0
935,1137,924,1104,22.0,10.0
1354,1751,1307,1667,2.0,10.0
805,1006,764,952,22.0,10.0
660,863,634,813,2.0,10.0
1927,2256,1831,2131,22.0,10.0
763,1060,724,998,2.0,10.0
243,353,224,329,22.0,10.0
133,756,146,748,22.0,10.0
641,909,613,852,22.0,10.0
295,347,275,325,2.0,10.0
307,415,285,396,2.0,10.0
1574,2092,1470,1959,2.0,10.0
1757,2232,1786,2181,22.0,10.0
1835,2277,1775,2179,22.0,10.0
1867,2230,1841,2139,22.0,10.0
1086,1635,1042,1535,22.0,10.0
326,922,331,831,29.0,77.0
